id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,nama_wilayah,jumlah,satuan,bulan,tahun
179,32,JAWA BARAT,3274,KOTA CIREBON,MAJALENGKA,59,ORANG,JUNI,2022
180,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,50,ORANG,JUNI,2022
181,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,390,ORANG,JULI,2022
182,32,JAWA BARAT,3274,KOTA CIREBON,KAB CIREBON,736,ORANG,JULI,2022
183,32,JAWA BARAT,3274,KOTA CIREBON,KUNINGAN,94,ORANG,JULI,2022
184,32,JAWA BARAT,3274,KOTA CIREBON,INDRAMAYU,102,ORANG,JULI,2022
185,32,JAWA BARAT,3274,KOTA CIREBON,MAJALENGKA,55,ORANG,JULI,2022
186,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,66,ORANG,JULI,2022
187,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,418,ORANG,AGUSTUS,2022
188,32,JAWA BARAT,3274,KOTA CIREBON,KAB CIREBON,875,ORANG,AGUSTUS,2022
189,32,JAWA BARAT,3274,KOTA CIREBON,KUNINGAN,96,ORANG,AGUSTUS,2022
190,32,JAWA BARAT,3274,KOTA CIREBON,INDRAMAYU,115,ORANG,AGUSTUS,2022
191,32,JAWA BARAT,3274,KOTA CIREBON,MAJALENGKA,68,ORANG,AGUSTUS,2022
192,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,78,ORANG,AGUSTUS,2022
193,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,467,ORANG,SEPTEMBER,2022
194,32,JAWA BARAT,3274,KOTA CIREBON,KAB CIREBON,787,ORANG,SEPTEMBER,2022
195,32,JAWA BARAT,3274,KOTA CIREBON,KUNINGAN,109,ORANG,SEPTEMBER,2022
196,32,JAWA BARAT,3274,KOTA CIREBON,INDRAMAYU,1300,ORANG,SEPTEMBER,2022
197,32,JAWA BARAT,3274,KOTA CIREBON,MAJALENGKA,86,ORANG,SEPTEMBER,2022
198,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,72,ORANG,SEPTEMBER,2022
199,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,511,ORANG,OKTOBER,2022
200,32,JAWA BARAT,3274,KOTA CIREBON,KAB CIREBON,962,ORANG,OKTOBER,2022
201,32,JAWA BARAT,3274,KOTA CIREBON,KUNINGAN,117,ORANG,OKTOBER,2022
202,32,JAWA BARAT,3274,KOTA CIREBON,INDRAMAYU,133,ORANG,OKTOBER,2022
203,32,JAWA BARAT,3274,KOTA CIREBON,MAJALENGKA,72,ORANG,OKTOBER,2022
204,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,79,ORANG,OKTOBER,2022
205,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,492,ORANG,NOVEMBER,2022
206,32,JAWA BARAT,3274,KOTA CIREBON,KAB CIREBON,942,ORANG,NOVEMBER,2022
207,32,JAWA BARAT,3274,KOTA CIREBON,KUNINGAN,113,ORANG,NOVEMBER,2022
208,32,JAWA BARAT,3274,KOTA CIREBON,INDRAMAYU,144,ORANG,NOVEMBER,2022
209,32,JAWA BARAT,3274,KOTA CIREBON,MAJALENGKA,75,ORANG,NOVEMBER,2022
210,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,79,ORANG,NOVEMBER,2022
211,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,487,ORANG,DESEMBER,2022
212,32,JAWA BARAT,3274,KOTA CIREBON,KAB CIREBON,889,ORANG,DESEMBER,2022
213,32,JAWA BARAT,3274,KOTA CIREBON,KUNINGAN,147,ORANG,DESEMBER,2022
214,32,JAWA BARAT,3274,KOTA CIREBON,INDRAMAYU,135,ORANG,DESEMBER,2022
215,32,JAWA BARAT,3274,KOTA CIREBON,MAJALENGKA,66,ORANG,DESEMBER,2022
216,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,86,ORANG,DESEMBER,2022
217,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,347,ORANG,JANUARI,2021
218,32,JAWA BARAT,3274,KOTA CIREBON,KAB CIREBON,557,ORANG,JANUARI,2021
219,32,JAWA BARAT,3274,KOTA CIREBON,KUNINGAN,50,ORANG,JANUARI,2021
220,32,JAWA BARAT,3274,KOTA CIREBON,INDRAMAYU,107,ORANG,JANUARI,2021
221,32,JAWA BARAT,3274,KOTA CIREBON,MAJALENGKA,41,ORANG,JANUARI,2021
222,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,66,ORANG,JANUARI,2021
223,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,254,ORANG,FEBRUARI,2021
224,32,JAWA BARAT,3274,KOTA CIREBON,KAB CIREBON,518,ORANG,FEBRUARI,2021
225,32,JAWA BARAT,3274,KOTA CIREBON,KUNINGAN,74,ORANG,FEBRUARI,2021
226,32,JAWA BARAT,3274,KOTA CIREBON,INDRAMAYU,91,ORANG,FEBRUARI,2021
227,32,JAWA BARAT,3274,KOTA CIREBON,MAJALENGKA,61,ORANG,FEBRUARI,2021
228,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,49,ORANG,FEBRUARI,2021
229,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,394,ORANG,MARET,2021
230,32,JAWA BARAT,3274,KOTA CIREBON,KAB CIREBON,684,ORANG,MARET,2021
231,32,JAWA BARAT,3274,KOTA CIREBON,KUNINGAN,60,ORANG,MARET,2021
232,32,JAWA BARAT,3274,KOTA CIREBON,INDRAMAYU,113,ORANG,MARET,2021
233,32,JAWA BARAT,3274,KOTA CIREBON,MAJALENGKA,59,ORANG,MARET,2021
234,32,JAWA BARAT,3274,KOTA CIREBON,LAIN-LAIN,45,ORANG,MARET,2021
235,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,378,ORANG,APRIL,2021
236,32,JAWA BARAT,3274,KOTA CIREBON,KAB CIREBON,656,ORANG,APRIL,2021
237,32,JAWA BARAT,3274,KOTA CIREBON,KUNINGAN,77,ORANG,APRIL,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,INDRAMAYU,121,ORANG,APRIL,2021
239,32,JAWA BARAT,3274,KOTA CIREBON,MAJALENGKA,64,ORANG,APRIL,2021
